"NAME","Edad","total","hombres","mujeres","porc_hombres","porc_mujeres"
"Barcelona","De 20 a 24 años",295470,152781,142689,2.67345963851311,2.49686336887307
"Barcelona","De 25 a 29 años",327277,165307,161970,2.89264759664936,2.834254636702
"Barcelona","De 30 a 34 años",354822,177965,176857,3.11414537519708,3.09475688265237
"Barcelona","De 35 a 39 años",400655,200344,200311,3.50574742813746,3.5051699730346
"Barcelona","De 40 a 44 años",482836,244145,238691,4.27220533603512,4.17676775630695
"Barcelona","De 45 a 49 años",486747,247091,239656,4.3237563279455,4.1936539434059
"Barcelona","De 5 a 9 años",281040,144623,136417,2.5307057376289,2.38711190204962
"Barcelona","De 50 a 54 años",431081,215922,215159,3.77834123396906,3.76498977204522
"Barcelona","De 55 a 59 años",382528,186564,195964,3.26461617609231,3.42910338721164
"Barcelona","De 60 a 64 años",336405,159337,177068,2.7881807189491,3.09844909558282
"Barcelona","De 65 a 69 años",285519,131883,153636,2.30777307064376,2.68842097526917
"Barcelona","De 70 a 74 años  ",260356,116895,143461,2.04550346210582,2.51037231855223
"Barcelona","De 75 a 79 años  ",209542,90920,118622,1.59097630159255,2.07572361248913
"Barcelona","De 80 a 84 años  ",151688,61585,90103,1.07765371242386,1.57667991313675
"Barcelona","De 85 a 89 años  ",115519,41228,74291,0.721433908513613,1.29999142566665
"Barcelona","De 90 a 94 años  ",52757,15463,37294,0.270581462291307,0.652594260796223
"Barcelona","De 95 a 99 años  ",13667,3063,10604,0.0535983327296303,0.185555573054195
"Bizkaia","100 y más años",410,50,360,0.0043315019742986,0.0311868142149499
"Bizkaia","De 0 a 4 años",40934,21099,19835,1.82780720311452,1.71830683320425
"Bizkaia","De 10 a 14 años  ",54298,28003,26295,2.42590099572567,2.27793688828363
"Bizkaia","De 15 a 19 años  ",53560,27874,25686,2.41472572063198,2.22517919423668
"Bizkaia","De 20 a 24 años",51300,26354,24946,2.28304806061331,2.16107296501706
"Bizkaia","De 25 a 29 años",52795,26675,26120,2.3108563032883,2.26277663137359
"Bizkaia","De 30 a 34 años",58881,29503,29378,2.55584605495463,2.54501730001889
"Bizkaia","De 35 a 39 años",71985,36173,35812,3.13366841832607,3.10239497407163
"Bizkaia","De 40 a 44 años",91299,46059,45240,3.99009298868438,3.91914298634537
"Bizkaia","De 45 a 49 años",95312,47856,47456,4.14576716964068,4.11111515384629
"Bizkaia","De 5 a 9 años",51082,26212,24870,2.2707465950063,2.15448908201612
"Bizkaia","De 50 a 54 años",90971,45261,45710,3.92096221717458,3.95985910490378
"Bizkaia","De 55 a 59 años",89888,43626,46262,3.77932210261501,4.00767888670004
"Bizkaia","De 60 a 64 años",83575,40001,43574,3.46528820947837,3.77481734056174
"Bizkaia","De 65 a 69 años",68854,32378,36476,2.8049074184768,3.15991732029031
"Bizkaia","De 70 a 74 años  ",62639,28503,34136,2.46921601546866,2.95720302789314
"Bizkaia","De 75 a 79 años  ",50379,21627,28752,1.87354786396312,2.49078689530067
"Bizkaia","De 80 a 84 años  ",37156,14388,22768,1.24643300812417,1.97239273901661
"Bizkaia","De 85 a 89 años  ",31222,11015,20207,0.954229884937982,1.75053320789304
"Bizkaia","De 90 a 94 años  ",14203,4047,10156,0.350591769799729,0.879814681019532
"Bizkaia","De 95 a 99 años  ",3591,712,2879,0.0616805881140121,0.249407883680113
"Burgos","100 y más años",206,36,170,0.010110797489152,0.047745432587662
"Burgos","De 0 a 4 años",12317,6367,5950,1.78820687815085,1.67109014056817
"Burgos","De 10 a 14 años  ",16880,8669,8211,2.43473620648495,2.30610439398408
"Burgos","De 15 a 19 años  ",16033,8249,7784,2.31677690244485,2.1861791015433
"Burgos","De 20 a 24 años",16097,8363,7734,2.34879442782716,2.17213632725281
"Burgos","De 25 a 29 años",15982,8360,7622,2.34795186136973,2.14068051284212
"Burgos","De 30 a 34 años",18165,9367,8798,2.63077333558018,2.47096656415441
